x,y,z
-3.773897,-2.291297,1.382937
-2.111411,-1.551785,-0.943855
-2.699607,-1.865242,2.654175
-3.417333,-2.208243,2.375181
-1.537837,-2.985975,2.786223
-3.016239,-2.975833,1.968446
-3.166837,-1.830279,2.959434
-3.642081,-2.811977,0.418422
-2.921714,-1.814657,2.766398
-2.916735,-3.613232,2.707664
-3.847778,-2.071542,2.028309
-3.560176,-1.559692,2.735483
-3.197600,-3.396479,1.917559
-3.790880,-3.747561,1.482096
-2.723870,-3.776463,2.985365
-2.934245,-1.094637,-4.269286
-2.112393,-2.849572,2.991942
-2.137539,-1.356245,-3.576103
-1.605441,-3.599741,2.431108
-2.628859,-2.149636,2.991115
-2.312367,-1.114606,-7.512785
-3.890186,-1.628720,2.999904
-2.847728,-2.759432,2.376128
-3.109757,-3.141506,1.812482
-2.965616,-1.788867,2.748771
-2.878287,-2.840374,2.272722
-3.011526,-2.425042,2.536308
-1.767635,-2.200985,2.241725
-2.977002,-1.029786,-5.437525
-1.906152,-2.412532,2.807309
-2.029212,-2.282725,2.764511
-2.091922,-3.134750,2.994559
-3.295957,-1.490013,2.031537
-3.330118,-1.358536,1.138727
-2.119206,-3.210638,2.994399
-3.183976,-1.395245,1.064389
-3.372583,-1.364787,1.306515
-2.150804,-3.668695,2.912177
-3.862586,-1.099246,-0.063477
-3.624868,-3.803758,2.041870
-2.429231,-3.122754,2.828469
-3.627737,-2.206670,2.003268
-2.918407,-3.268581,2.283825
-1.364339,-1.520225,-4.982853
-1.976965,-3.086650,2.999067
-3.298145,-3.896901,2.756246
-2.649166,-2.864549,2.602068
-1.610520,-3.096803,2.840918
-2.684661,-3.139593,2.557542
-3.704157,-3.105344,0.133548
-2.538300,-1.532899,0.394729
-1.071891,-2.775240,2.042292
-1.464096,-2.209260,1.651675
-3.198196,-3.285111,1.752518
-3.676349,-3.050502,0.198399
-1.709667,-2.491667,2.698889
-2.229170,-3.323949,2.984568
-3.963441,-3.671267,0.711312
-1.974795,-3.592713,2.858237
-2.107717,-3.455154,2.990110
-3.469880,-2.011697,2.756815
-3.527142,-3.900354,2.486620
-3.737801,-3.284814,0.255405
-2.915214,-3.960825,2.999936
-2.003880,-3.341541,2.987283
-3.388079,-1.383915,1.502676
-2.823512,-2.806533,2.382074
-2.790054,-3.204935,2.440412
-3.120163,-1.212112,-1.311350
-3.088693,-3.174742,1.880302
-2.700989,-1.577519,1.251094
-2.706860,-3.252174,2.586206
-2.125658,-3.871571,2.598073
-2.404405,-3.660011,2.999026
-1.533918,-2.961602,2.781391
-3.939244,-2.239223,1.149143
-2.434455,-1.150056,-5.927166
-1.699136,-3.006575,2.909455
-3.860185,-1.439988,2.671152
-2.575257,-2.164556,2.984943
-1.402199,-1.507371,-4.984810
-1.697745,-2.330127,2.436021
-2.268783,-1.637157,0.476488
-3.383898,-1.964193,2.903278
-2.116158,-3.791757,2.739163
-2.333328,-2.959508,2.889983
-3.115126,-1.687011,2.629344
-2.645804,-1.433078,-0.274074
-3.578323,-1.734143,2.999421
-2.552134,-2.226893,2.997924
-2.561858,-2.814896,2.721644
-2.987656,-1.656761,2.333108
-2.400403,-3.341061,2.919298
-3.839355,-3.190588,-0.250923
-3.691768,-2.665994,0.502943
-2.911052,-3.128581,2.199835
-2.923978,-2.006893,2.996121
-2.743034,-3.569262,2.824460
-2.586259,-2.635805,2.794228
-1.125326,-2.425665,1.549097
-3.418756,-2.954043,0.993120
-2.495123,-1.667105,1.357794
-3.161485,-3.370119,1.950406
-3.729444,-3.368343,0.459906
-1.462767,-2.446976,2.289236
-2.829678,-2.056188,2.996266
-3.826879,-3.377967,0.164075
-2.456143,-3.041076,2.793470
-3.634969,-3.408045,0.843602
-1.588028,-3.286267,2.756042
-2.081965,-3.616235,2.911327
-1.361250,-1.523070,-4.952812
-1.059191,-2.908375,2.099012
-3.277482,-1.129936,-1.926884
-3.047703,-2.252315,2.761201
-1.906813,-2.360958,2.748435
-3.777080,-2.513441,0.627352
-3.871985,-3.804885,1.501471
-2.415884,-1.296353,-3.182827
-1.954453,-2.038620,2.059490
-1.813292,-1.916232,1.146969
-1.537300,-1.210623,-10.429073
-1.025568,-2.907067,2.033577
-1.214376,-3.546603,1.824078
-1.255851,-3.584911,1.820017
-3.779615,-1.344715,2.077723
-1.558235,-2.234585,1.943985
-1.726874,-1.707645,-0.776446
-1.283100,-2.167333,1.011238
-2.570671,-1.580710,0.915695
-2.960747,-3.067405,2.085675
-1.372213,-2.205447,1.414662
-1.553333,-3.340990,2.683097
-1.757241,-2.630948,2.856391
-2.764928,-2.238898,2.965533
-3.314292,-2.731705,1.456667
-1.840100,-1.257744,-7.210301
-2.280177,-2.541514,2.995105
-1.196047,-1.920152,-0.881002
-2.038825,-1.446893,-2.632638
-2.575410,-2.563628,2.851784
-2.173153,-3.737355,2.862701
-2.443966,-2.043007,2.777339
-2.227969,-3.082566,2.951092
-1.380472,-1.217978,-11.403005
-1.116596,-2.130634,0.313020
-1.497968,-1.079203,-14.568601
-1.809101,-1.101770,-11.395785
-2.760556,-2.595226,2.643933
-3.721254,-3.270080,0.283071
-1.550992,-1.449597,-5.138222
-2.994924,-1.591841,2.023881
-2.058287,-3.574375,2.926223
-2.574376,-1.553023,0.691526
-1.544904,-1.406078,-5.974118
-3.570760,-2.045347,2.565194
-1.040368,-2.189708,0.387885
-3.923787,-3.927701,1.869696
-3.044983,-2.216865,2.813649
-3.259566,-1.229281,-0.518926
-2.865100,-2.550778,2.560035
-1.870651,-3.988734,1.774677
-3.652856,-2.227230,1.885536
-2.533092,-2.494298,2.923073
-3.284296,-2.557273,1.815627
-2.652520,-2.421083,2.899273
-3.543357,-3.541858,1.438132
-2.058082,-3.857301,2.541828
-3.870607,-3.203696,-0.345662
-1.534138,-2.600118,2.608415
-1.313121,-3.443560,2.219207
-2.993676,-3.985230,2.999471
-3.068624,-2.467322,2.383967
-3.574871,-2.769370,0.684487
-3.265704,-2.558277,1.853849
-2.628574,-2.374640,2.943594
-2.209877,-2.510863,2.999137
-3.288402,-1.534567,2.261962
-3.979006,-2.239994,1.036088
-2.157363,-1.408286,-2.646281
-3.722612,-2.748334,0.246803
-3.120549,-3.685993,2.577549
-2.319399,-3.444614,2.985185
-1.194877,-3.358719,2.128012
-2.468641,-3.444296,2.926428
-2.038265,-3.902007,2.398831
-1.477708,-3.486913,2.423347
-3.008638,-3.127635,2.015246
-2.461999,-2.837579,2.810237
-3.463297,-1.890231,2.946311
-2.173606,-2.663718,2.996337
-3.309275,-3.516797,1.913827
-3.403322,-1.265846,0.427284
-1.131783,-1.679213,-3.826179
-2.275081,-2.811373,2.942639
-1.624548,-1.922028,0.636167
-3.200479,-3.121755,1.594223
-2.302990,-3.081446,2.912173
-3.344879,-2.935407,1.202506
-3.689523,-1.532365,2.784306
-3.866165,-2.609730,0.062704
-3.999723,-2.151289,1.363101
-2.903342,-3.216765,2.266656
-2.605843,-2.836613,2.664588
-1.647672,-3.069742,2.872414
-1.061097,-3.944214,-0.350520
-2.412352,-2.049034,2.757953
-2.508690,-3.342029,2.846566
-1.823917,-3.427651,2.871142
-3.312416,-2.759810,1.425664
-2.914874,-2.993301,2.163089
-3.126121,-2.462382,2.299283
-3.060131,-2.098550,2.938735
-1.836400,-2.454150,2.786970
-3.672645,-1.632191,2.960695
-2.161798,-1.318853,-4.099322
-3.152424,-1.681830,2.657601
-2.848268,-1.924644,2.905060
-3.376998,-2.763352,1.254970
-3.700916,-2.030810,2.419987
-3.697638,-2.673102,0.469432
-2.848839,-3.664521,2.834147
-2.807634,-2.662264,2.518963
-2.754718,-2.396030,2.847948
-1.819462,-3.028335,2.967116
-3.948448,-1.724114,2.897239
-2.478312,-3.216743,2.813950
-2.995473,-2.000689,2.999990
-1.668929,-2.221784,2.122608
-1.778253,-2.797027,2.930860
-2.058858,-2.720606,2.999631
-1.058937,-1.060615,-19.111426
-1.788404,-2.760405,2.927638
-2.994450,-1.129450,-3.272564
-3.328993,-1.703455,2.876071
-1.217303,-2.882637,2.365634
-2.160979,-1.582013,-0.421426
-1.391625,-2.695099,2.508123
-2.439427,-3.958994,2.769367
-2.270390,-1.490394,-1.034150
-3.266494,-1.987016,2.942228
-3.736956,-1.601504,2.952111
-1.466969,-3.756939,1.776793
-3.155258,-2.877289,1.699944
-2.505176,-2.245008,2.995796
-3.707688,-2.674520,0.434394
-3.555039,-1.511383,2.563155
-1.647613,-2.746485,2.826397
-2.767012,-1.115829,-4.745588
-3.428000,-1.484522,2.245405
-1.669918,-3.393479,2.764865
-1.107224,-2.363625,1.315847
-1.473198,-1.379665,-6.936925
-1.819374,-2.648159,2.907329
-1.708276,-1.229088,-8.750179
-2.723324,-3.923228,2.983352
-2.887956,-2.739360,2.327562
-2.784231,-2.822378,2.433470
-2.963283,-2.999548,2.072086
-3.069154,-1.865656,2.952658
-3.766267,-1.026653,-1.527674
-1.658361,-3.390268,2.756015
-3.579165,-2.754995,0.692223
-1.730422,-3.833146,2.071264
-3.041247,-1.627548,2.290401
-3.951377,-3.645504,0.644691
-1.304366,-1.009426,-18.697139
-2.444631,-1.908852,2.443524
-2.477352,-3.050227,2.774537
-1.074195,-3.499905,1.617706
-1.715876,-3.304546,2.857967
-3.718966,-2.842431,0.129897
-1.336984,-2.817992,2.515385
-1.525437,-3.788684,1.797498
-1.227867,-1.339453,-9.457712
-3.391988,-3.579132,1.883609
-3.097120,-2.393551,2.468065
-3.793311,-2.537591,0.505213
-1.243172,-3.397904,2.162490
-1.933755,-2.831668,2.991055
-1.443530,-3.223308,2.632356
-1.298608,-2.186419,1.141396
-2.970629,-1.561071,1.790249
-2.982045,-1.162828,-2.727202
-3.669557,-2.747836,0.420860
-1.803350,-1.586227,-1.819800
-2.191769,-3.201488,2.977147
-2.568547,-1.782654,2.165729
-1.416481,-2.303252,1.857290
-2.523946,-2.468316,2.941794
-2.586161,-3.662345,2.978256
-3.001516,-3.742941,2.797901
-2.293953,-1.647381,0.641855
-3.445406,-3.903186,2.603528
-1.949942,-1.033171,-12.354434
-1.687808,-2.970217,2.901981
-1.263612,-1.100228,-15.883542
-2.884044,-2.920762,2.229528
-1.154719,-1.488829,-6.790125
-3.688538,-3.958637,2.407789
-1.361430,-1.043907,-16.935070
-2.966304,-1.742093,2.620512
-2.836969,-2.529642,2.620873
-2.409381,-3.768550,2.967135
-1.238466,-2.252649,1.257423
-1.049146,-3.577065,1.351710
-2.353491,-1.997762,2.576210
-2.583871,-3.611720,2.956039
-1.538654,-1.327000,-7.629404
-3.733022,-3.011018,-0.002943
-1.037007,-1.287503,-12.176006
-2.543485,-2.300281,2.997097
-2.816136,-3.316717,2.487592
-3.249190,-3.735638,2.498697
-2.313576,-1.596005,0.252279
-1.248984,-1.384403,-8.297470
-3.943574,-2.917149,-0.750843
-2.238793,-2.208699,2.849949
-3.957060,-1.431562,2.747053
-2.343011,-3.290964,2.933255
-3.716545,-1.728720,2.989921
-1.331883,-1.457370,-6.289228
-2.397519,-2.054419,2.753383
-3.286861,-3.496631,1.917945
-3.230181,-1.001567,-4.637221
-3.073929,-2.864116,1.885994
-1.566149,-2.477230,2.499953
-2.447861,-1.310359,-2.793776
-3.040178,-2.355266,2.610005
-1.885182,-2.458537,2.833536
-2.656091,-2.533167,2.808018
-2.140418,-3.843763,2.673366
-2.275797,-2.288017,2.946582
-2.431598,-2.416196,2.991761
-1.525487,-2.466530,2.423763
-3.275766,-1.726665,2.880549
-1.392448,-2.981051,2.630444
-2.759201,-3.877511,2.999883
-3.435382,-1.365379,1.470812
-3.257296,-3.239779,1.560476
-1.306931,-1.661700,-3.170836
-2.112629,-1.441790,-2.361022
-1.209293,-2.647019,2.162222
-2.024050,-2.435906,2.913474
-3.182985,-2.313403,2.493668
-2.130734,-3.320037,2.999199
-1.944740,-3.396299,2.954923
-2.348957,-3.920713,2.751243
-2.303627,-3.667624,2.979809
-2.479343,-2.531869,2.932298
-1.002562,-1.019845,-21.191148
-3.304810,-2.722898,1.491955
-1.975402,-2.453254,2.895329
-3.512772,-2.890320,0.747772
-2.522686,-1.271326,-3.079327
-3.580281,-1.631356,2.914206
-3.746612,-2.538033,0.649302
-3.543191,-1.631850,2.891994
-1.414007,-1.330487,-8.378935
-2.129175,-3.332083,2.999643
-2.965561,-3.164527,2.119232
-1.671779,-1.440351,-4.621609
-3.254274,-3.215213,1.540840
-1.391997,-1.308085,-9.044913
-1.307033,-2.412212,1.921597
-1.810069,-1.539609,-2.394813
-2.132951,-1.408814,-2.754828
-3.290983,-2.670687,1.601609
-3.767538,-3.093707,-0.093225
-2.348163,-1.583189,0.247089
-1.691994,-2.166127,1.993286
-3.558839,-1.152608,-0.437383
-1.236030,-2.720068,2.290476
-3.973610,-1.738573,2.853762
-3.757536,-2.995772,-0.088869
-2.249134,-2.562498,2.996668
-2.544950,-3.446224,2.880399
-1.382437,-3.719621,1.710826
-2.011604,-3.839723,2.519014
-1.732977,-3.839124,2.056862
-3.101702,-1.934850,2.998921
-2.562428,-3.575780,2.946683
-3.785748,-1.877160,2.724397
-2.822037,-1.554544,1.393934
-3.673923,-3.635111,1.385686
-1.636195,-2.683387,2.784659
-1.991165,-3.646101,2.818284
-3.719895,-2.828483,0.142286
-1.889873,-2.389208,2.766524
-2.429619,-3.476426,2.958938
-1.420987,-2.562297,2.406181
-3.856309,-2.769906,-0.252128
-3.390618,-3.066344,1.078403
-1.020309,-1.967900,-1.181703
-3.250732,-2.151038,2.719105
-3.375505,-1.795428,2.994301
-3.962355,-2.622188,-0.310991
-3.654222,-1.367182,1.976111
-2.785295,-2.993946,2.383369
-1.070649,-1.438555,-8.339799
-1.462118,-1.063447,-15.387973
-1.370151,-1.544080,-4.560038
-2.725375,-1.292395,-1.798463
-1.005662,-2.668562,1.780766
-2.226534,-2.580201,2.997470
-2.281026,-1.053837,-9.295720
-1.938183,-2.095147,2.224586
-1.072656,-1.691148,-3.971918
-2.779856,-3.593160,2.816802
-3.254609,-2.712764,1.626170
-1.666379,-2.025150,1.351462
-1.086848,-1.119220,-16.806827
-3.384573,-1.664609,2.841042
-3.065628,-2.321915,2.632971
-3.346263,-3.065580,1.199138
-2.994261,-2.480061,2.475934
-2.420218,-3.022520,2.823843
-1.071691,-1.962115,-1.022090
-1.268466,-2.161407,0.941427
-1.043918,-3.079554,2.073766
-1.896641,-3.035820,2.989050
-1.957925,-1.481019,-2.519573
-3.828628,-3.771671,1.479334
-1.702515,-2.419655,2.597682
-1.568141,-1.032429,-15.517481
-1.546785,-1.143096,-12.220184
-3.194920,-1.429371,1.382127
-3.769801,-2.934663,-0.117104
-2.535308,-2.626434,2.843377
-2.768562,-3.216683,2.479278
-3.017848,-3.034909,1.966466
-3.143839,-1.740151,2.803413
-2.444095,-2.097858,2.863273
-1.352335,-2.282377,1.648251
-2.053549,-2.664272,2.996500
-1.114618,-3.371804,1.952201
-2.920061,-2.759789,2.256335
-3.730484,-3.956106,2.333580
-1.977334,-2.296880,2.732665
-2.909144,-3.244731,2.278774
-3.798068,-1.363239,2.223984
-1.517944,-3.154792,2.743947
-1.903170,-1.423986,-3.659748
-1.055761,-3.170764,2.052494
-1.954077,-2.001069,1.910512
-1.720875,-3.206534,2.896457
-1.873415,-3.054702,2.983210
-2.021869,-2.100305,2.379714
-3.596824,-1.347417,1.713577
-2.766628,-3.146684,2.444809
-1.094789,-1.253767,-12.638391
-1.848011,-3.327022,2.932954
-1.620203,-2.542011,2.652430
-1.288859,-1.667421,-3.184705
-2.934944,-1.268372,-1.258414
-1.438776,-3.430675,2.442431
-2.873154,-3.181266,2.293902
-1.956370,-3.643812,2.790122
-1.244943,-3.986748,0.011497
-3.791971,-2.377329,1.028076
-1.335884,-3.210770,2.497971
-2.755658,-1.128593,-4.543289
-3.667899,-1.785175,2.963098
-2.520115,-1.670711,1.445256
-2.798396,-1.034796,-6.385838
-1.394450,-2.608916,2.424683
-1.222077,-2.477285,1.895076
-1.257620,-3.758601,1.263255
-2.663791,-2.088464,2.972075
-1.342253,-3.701070,1.679235
-3.380617,-2.554365,1.602815
-2.639461,-3.881720,2.980964
-3.243263,-2.564481,1.889957
-1.454391,-1.834866,-0.621968
-2.842472,-2.369178,2.802388
-3.169583,-1.074756,-3.436272
-1.115418,-3.329342,2.013856
-2.319450,-2.476955,2.997896
-1.649344,-3.701947,2.288701
-3.973909,-3.706161,0.823652
-3.199617,-3.340808,1.826098
-2.347529,-2.625563,2.957016
-1.495471,-3.249939,2.678512
-2.044336,-3.772029,2.695635
-3.967772,-3.654154,0.628849
-2.253630,-1.371076,-2.758862
-3.510126,-2.520374,1.361382
-1.724199,-3.932784,1.686942
-1.658701,-2.010602,1.257051
-3.102993,-2.409621,2.430812
-3.559204,-2.493896,1.302028
-1.839427,-1.511271,-2.649585
-3.641340,-2.073889,2.385878
-3.957106,-1.703411,2.923844
-2.811864,-3.266443,2.451108
-1.156672,-2.082035,0.157445
-2.137816,-2.232244,2.796027
-1.634987,-1.253994,-8.652332
-3.812777,-2.511970,0.520623
-3.139870,-3.488209,2.187257
-1.486469,-2.705068,2.639381
-2.024555,-2.004471,2.065835
-2.236436,-2.896969,2.949005
-2.359401,-3.668219,2.992411
-2.439616,-2.608057,2.918206
-1.425186,-1.810285,-0.961035
-1.429794,-2.573032,2.433732
-1.109377,-3.466880,1.771007
-1.148288,-2.535825,1.861147
-1.388819,-2.627436,2.437523
-2.375148,-2.918514,2.864202
-1.712943,-2.769724,2.884343
-1.237737,-3.078955,2.409412
-1.475517,-2.646440,2.578166
-1.150183,-3.858795,0.480335
-1.027841,-2.883636,2.028397
-3.833166,-2.697862,-0.034142
-1.824402,-3.504290,2.815180
-2.207511,-2.295203,2.916347
-2.307941,-2.994366,2.905192
-1.617975,-2.426319,2.494287
-2.613155,-1.338345,-1.613648
-3.042635,-3.868240,2.916598
-3.579549,-1.743611,2.999999
-1.187113,-2.185818,0.822076
-1.772778,-2.903510,2.944052
-2.858194,-3.569259,2.714697
-2.997233,-2.653664,2.230372
-1.187358,-2.493844,1.857590
-1.007659,-2.271693,0.681165
-3.184214,-2.013426,2.955527
-2.550513,-3.041264,2.698808
-3.613091,-3.160638,0.480524
-1.303376,-2.222452,1.306865
-1.075639,-3.805953,0.522769
-3.991355,-1.674001,2.945672
-2.515908,-3.230756,2.785946
-3.344089,-3.287680,1.409051
-3.516826,-1.978077,2.776743
-3.654064,-1.238422,0.900133
-3.257459,-2.347620,2.308012
-3.605363,-1.930499,2.786989
-2.070785,-1.203267,-6.969589
-3.842187,-2.116517,1.872911
-1.754755,-1.155393,-10.306588
-3.284224,-1.973788,2.946587
-1.418484,-3.696596,1.862019
-2.894903,-3.049502,2.203528
-1.319935,-2.505338,2.144827
-2.626940,-3.630790,2.947539
-2.954632,-2.627825,2.333951
-1.637065,-1.156813,-11.139667
-2.930880,-3.391367,2.395164
-2.281978,-1.822919,1.782197
-2.245000,-1.372967,-2.770748
-3.311642,-3.335891,1.562832
-1.429277,-2.711362,2.572239
-1.876266,-2.608904,2.923443
-1.086739,-1.572349,-5.711048
-3.814327,-2.053205,2.157449
-2.230796,-2.018510,2.463405
-1.173220,-2.795757,2.245717
-2.333653,-1.023050,-9.778314
-2.477775,-2.056981,2.830660
-3.322369,-2.028294,2.856998
-3.023730,-2.647902,2.190438
-3.231890,-3.013990,1.482930
-2.376039,-2.708940,2.915131
-2.193560,-2.113122,2.648360
-2.442400,-3.713506,2.995552
-2.604297,-2.288083,2.990499
-2.236020,-1.154871,-7.039278
-1.225427,-1.478537,-6.544533
-1.534991,-1.438326,-5.432248
-2.294195,-2.801989,2.934982
-1.889081,-2.012279,1.819491
-2.762933,-2.104554,2.998488
-3.925248,-1.948885,2.326936
-3.917882,-1.008999,-1.186946
-3.847746,-2.013656,2.234600
-2.623617,-1.574738,1.018224
-1.443964,-1.618401,-3.075489
-2.365352,-1.248137,-4.309841
-3.188217,-1.489163,1.802263
-2.276278,-3.736987,2.928780
-3.598255,-2.423175,1.398440
-1.812737,-1.534750,-2.448583
-3.521565,-3.588176,1.617933
-2.690111,-2.497698,2.808328
-3.239900,-1.826135,2.980940
-2.701851,-3.329529,2.648041
-2.609673,-1.440131,-0.325217
-3.902952,-2.009554,2.149972
-2.448447,-1.701462,1.467968
-1.541136,-2.758826,2.732681
-1.929109,-2.602559,2.947627
-1.901400,-1.803979,0.661958
-2.919770,-3.047290,2.158131
-2.103496,-2.748576,2.998377
-2.510966,-1.130452,-5.905712
-3.917047,-2.407489,0.547715
-3.387718,-3.140119,1.128345
-1.754197,-2.169757,2.125576
-2.178494,-3.966628,2.428653
-2.603301,-3.457399,2.844696
-3.666983,-3.659664,1.482602
-3.878499,-3.777313,1.376201
-1.978166,-3.271542,2.990867
-3.459161,-2.558715,1.401219
-3.428300,-2.211504,2.349438
-1.204544,-3.881371,0.527967
-1.581749,-2.702046,2.742923
-3.696702,-2.509667,0.879261
-1.905714,-2.304463,2.665850
-2.942807,-1.651957,2.235404
-3.939025,-1.091147,0.094020
-1.023236,-2.402955,1.222506
-2.631417,-3.903480,2.965827
-1.607614,-1.473792,-4.407629
-3.473967,-1.087046,-1.776087
-3.158920,-3.908622,2.888894
-1.691041,-1.652304,-1.516658
-1.302064,-2.313846,1.634038
-1.196781,-1.045764,-18.365265
-2.920623,-3.656035,2.759664
-3.432883,-3.346296,1.276130
-2.368222,-1.645354,0.848367
-3.551594,-3.166322,0.677633
-3.265854,-1.788692,2.959433
-2.172879,-2.690827,2.994026
-1.677864,-3.915527,1.653644
-1.001648,-2.607843,1.672574
-3.415545,-2.836100,1.071563
-1.024434,-2.280478,0.770119
-2.163961,-1.627179,0.039269
-1.020179,-2.508121,1.507288
-1.128971,-1.534221,-6.117612
-1.599985,-3.609877,2.404070
-1.610361,-2.113441,1.617904
-2.828463,-1.597656,1.704717
-3.163283,-2.230109,2.674473
-3.868298,-1.405551,2.545763
-3.455008,-2.062893,2.667257
-1.826139,-1.287448,-6.651558
-2.540656,-1.376502,-1.389398
-2.811595,-1.288076,-1.490531
-2.318496,-3.871215,2.805943
-1.926969,-3.728237,2.635956
-1.538632,-2.082152,1.300073
-3.061474,-1.051357,-4.484245
-3.671697,-1.115615,-0.531433
-2.268955,-1.526596,-0.617471
-1.961820,-1.452674,-2.916557
-1.088876,-1.652858,-4.430613
-1.669225,-1.966178,1.041224
-3.370673,-1.144574,-1.292904
-3.046529,-1.097759,-3.615147
-1.839660,-3.745446,2.487301
-1.604215,-1.221348,-9.669234
-3.930311,-1.306187,2.118858
-2.647031,-2.084097,2.963195
-3.909990,-2.730013,-0.374925
-2.619938,-3.871870,2.980339
-1.141435,-2.326892,1.279603
-1.889848,-3.696959,2.644898
-1.197561,-1.723990,-2.908014
-2.567064,-1.182927,-4.478531
-3.622412,-3.907247,2.361096
-3.142905,-2.495853,2.210140
-1.019003,-1.278473,-12.560291
-2.060958,-3.935892,2.335880
-1.676463,-3.198355,2.868317
-1.763065,-2.102439,1.913090
-3.881860,-3.527083,0.427045
-2.845515,-3.252828,2.389111
-1.407111,-2.333770,1.925146
-2.201099,-1.499527,-1.203813
-3.137847,-1.721551,2.753403
-1.633989,-1.340295,-6.738346
-2.430399,-2.362615,2.999417
-2.987325,-3.788665,2.866532
-3.910841,-1.297612,2.025270
-2.426376,-1.231148,-4.303304
-1.639623,-3.263737,2.815157
-2.490990,-1.567139,0.559841
-2.765695,-1.536842,1.108998
-3.896296,-2.574293,0.058536
-2.617461,-1.157029,-4.723296
-3.912961,-2.544563,0.091139
-1.718550,-2.299851,2.404544
-3.563854,-3.724455,1.920440
-2.284988,-3.400864,2.984551
-2.136680,-1.627712,-0.050238
-1.854962,-1.576762,-1.711695
-2.757087,-3.293832,2.550095
-3.231724,-3.911406,2.839148
-2.030412,-3.062733,2.999299
-1.235395,-3.112883,2.395730
-2.838500,-2.516369,2.634458
-2.900933,-2.484956,2.595934
-2.217163,-1.042814,-10.056749
-2.341284,-2.517190,2.988297
-1.586437,-3.265697,2.765591
-2.404787,-2.557362,2.956378
-3.365529,-1.739951,2.950630
-2.197758,-1.146135,-7.491503
-2.969845,-1.963149,2.988930
-3.530650,-3.915642,2.520792
-2.540094,-1.668003,1.476946
-3.722746,-3.117269,0.079340
-2.063984,-1.441036,-2.599772
-2.616525,-2.062426,2.931084
-2.987295,-3.780760,2.857336
-1.620572,-2.573409,2.684821
-2.023543,-2.057506,2.252204
-1.680901,-1.592752,-2.287453
-1.297048,-1.636701,-3.561472
-1.826240,-3.931846,1.914033
-2.095444,-1.598262,-0.494750
-2.062021,-2.546580,2.979388
-2.220403,-2.259377,2.892337
-2.952774,-2.896416,2.112552
-2.552230,-2.850519,2.719221
-3.909781,-2.101244,1.785555
-1.063272,-1.100377,-17.659700
-2.367485,-3.320578,2.929926
-1.198561,-2.799477,2.291628
-1.321810,-2.221487,1.350644
-1.698273,-2.936666,2.906524
-1.338699,-2.245029,1.483944
-2.292059,-3.771974,2.907654
-3.858594,-3.629545,0.861773
